"Source","Enseigne","Adresse_postale","Code_postal","Commune","Telephone","Note_globale","Nombre_d_avis","Horaires_lundi","Horaires_mardi","Horaires_mercredi","Horaires_jeudi","Horaires_vendredi","Horaires_samedi","Horaires_dimanche","Prestations_Boissons","Prestations_Burgers","Prestations_Desserts","Prestations_Grillades","Prestations_Kebab","Prestations_Lahmacun/Pide","Prestations_Pizzas","Prestations_Plats/Assiettes","Prestations_Salades","Prestations_Sandwichs","Services_Accès_handicapés","Services_Broche_faite_Maison","Services_Carte_de_fidélité","Services_Certificat_halal","Services_Frîtes_fraiches_Maison","Services_Groupes_acceptés","Services_Menu_enfant","Services_Pain_fait_Maison","Services_Parking","Services_Réduction_étudiants","Services_Restauration_à_emporter","Services_Restauration_sur_place","Services_Salle_avec_télévision","Services_Salle_climatisée","Services_Service_de_livraison","Services_Terrasse","Services_Thé_offert","Services_Wifi_gratuit","Tarifs","Note_Accueil","Note_Hygiene","Note_Fraicheur","Note_Crudites","Note_Sauces","Note_Viandes","Note_Frites","Note_Pain","Note_Quantite","Note_Qualiteprix","BD_Adresse_Longitude","BD_Adresse_Latitude","BD_Adresse_Score"
"https://www.kebab-frites.com/kebab/food-express-paris-14.html","Food Express","29 rue Daguerre",75014.,"Paris 14","",2.3,2.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Kebab Kebab + Frites 4.50€ ",4.,2.,1.,2.,2.,1.,1.,2.,3.,2.,2.328689,48.834237,0.884721567398119
"https://www.kebab-frites.com/kebab/lescale-de-plaisance-paris-14.html","L'Escale De Plaisance","180 Rue d'Alésia",75014.,"Paris 14","",3.5,17.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Kebab Kebab + Frites 4.20€ ",2.,3.,4.,3.,3.,3.,3.,3.,3.,3.,2.313111,48.832247,0.8921572727272727
"https://www.kebab-frites.com/kebab/le-palais-du-sandwich-paris-14.html","Le palais du sandwich","137 rue d'Alèsia",75014.,"Paris 14","01 45 43 56 61",0.,0.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Kebab Kebab + Frites 4.80€ ",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,2.321614,48.829562,0.8921572727272727
"https://www.kebab-frites.com/kebab/le-fleurus-paris-14.html","Le Fleurus","10 Boulevard Jourdan",75014.,"Paris 14","01 45 81 02 10",0.,0.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Kebab Kebab + Frites 5.00€ ",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,2.343031,48.819772,0.8986879144385026
"https://www.kebab-frites.com/kebab/pizza-zizou-paris-14.html","Pizza Zizou","1 rue Francis de Préssencé",75014.,"Paris 14","01 83 87 86 38",0.,0.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","OUI","NON","NON","NON","Kebab Kebab + Frites 5.00€ ",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,2.316182,48.834171,0.8202030303030303
"https://www.kebab-frites.com/kebab/kebab-alesia-paris-14.html","Kebab Alésia","37 Rue Alésia",75014.,"Paris 14","01 43 35 09 47",0.,0.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","Aucun tarif renseigné. ",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,2.332711,48.827687,0.8263265517241378
"https://www.kebab-frites.com/kebab/chez-momo-63-paris-14.html","Chez Momo 63","4 rue Wilfrid Laurier",75014.,"Paris 14","",0.,0.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Kebab Kebab + Frites 4.50€ ",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,2.306585,48.826948,0.8904233766233766
"https://www.kebab-frites.com/kebab/berliner-das-original-paris-14.html","Berliner Das Original","3 Avenue Du Général Leclerc",75014.,"Paris 14","01 45 44 49 21",0.,0.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","Aucun tarif renseigné. ",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,2.331863,48.833302,0.9141056984478936
"https://www.kebab-frites.com/kebab/sandwicherie-rapide-alesia-paris-14.html","Sandwicherie rapide Alésia","155 rue d'Alésia",75014.,"Paris 14","",0.,0.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","Kebab Kebab + Frites 5.00€ ",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,2.319441,48.830343,0.8921572727272727
"https://www.kebab-frites.com/kebab/le-penalty-paris-14.html","Le Penalty","132 rue de la Tombe Issoire",75014.,"Paris 14","",0.,0.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","NON","NON","NON","Kebab Kebab + Frites 4.30€ ",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,2.331064,48.82452,0.9149138802660753
"https://www.kebab-frites.com/kebab/la-fin-de-la-faim-paris-14.html","La fin de la faim","14 boulevard Jourdan",75014.,"Paris 14","09 53 46 07 32",0.,0.,"n.c","n.c","n.c","n.c","n.c","n.c","n.c","OUI","NON","NON","NON","OUI","NON","NON","NON","NON","OUI","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","n.c.","Kebab Sandwich 5.00€ ",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,2.34259,48.819826,0.8986879144385026
